model_name fault_name longitude latitude type
HFF_model F36 -17.159250 66.011989 sf
HFF_model F36 -17.144420 66.007841 sf
HFF_model F36 -17.133590 66.004440 sf
HFF_model F36 -17.122220 66.000098 sf
HFF_model F36 -17.111990 65.995534 sf
HFF_model F43 -17.223240 66.024190 sf
HFF_model F43 -17.207250 66.020965 sf
HFF_model F43 -17.196380 66.019202 sf
HFF_model F43 -17.185580 66.014632 sf
HFF_model F43 -17.169060 66.009294 sf
HFF_model F43 -17.158870 66.003327 sf
HFF_model F43 -17.144050 65.999179 sf
HFF_model F43 -17.128650 65.994790 sf
HFF_model F43 -17.110420 65.989198 sf
HFF_model F54 -18.440200 66.260900 sf
HFF_model F54 -18.441400 66.269400 sf
HFF_model F54 -18.445000 66.273900 sf
HFF_model F54 -18.449500 66.278400 sf
HFF_model F54 -18.451100 66.283500 sf
HFF_model F54 -18.455100 66.287100 sf
HFF_model F54 -18.461000 66.290900 sf
HFF_model F54 -18.467200 66.294400 sf
HFF_model F54 -18.472300 66.296900 sf
HFF_model F54 -18.473700 66.299200 sf
HFF_model F54 -18.473900 66.301700 sf
HFF_model F54 -18.473600 66.304000 sf
HFF_model F55 -18.079400 66.173800 sf
HFF_model F55 -18.066200 66.172100 sf
HFF_model F55 -18.053100 66.170400 sf
HFF_model F55 -18.039900 66.168700 sf
HFF_model F55 -18.026700 66.167000 sf
HFF_model F55 -18.013500 66.165300 sf
HFF_model F55 -18.000300 66.163600 sf
HFF_model F55 -17.987100 66.161900 sf
HFF_model F55 -17.973900 66.160200 sf
HFF_model F55 -17.960700 66.158500 sf
HFF_model F55 -17.947500 66.156800 sf
HFF_model F55 -17.934300 66.155100 sf
HFF_model F55 -17.921100 66.153400 sf
HFF_model F55 -17.907900 66.151700 sf
HFF_model F55 -17.894700 66.150000 sf
HFF_model F60 -18.084600 66.166100 sf
HFF_model F60 -18.097025 66.168269 sf
HFF_model F60 -18.109450 66.170438 sf
HFF_model F60 -18.121875 66.172606 sf
HFF_model F60 -18.134300 66.174775 sf
HFF_model F60 -18.146725 66.176944 sf
HFF_model F60 -18.159150 66.179113 sf
HFF_model F60 -18.171575 66.181281 sf
HFF_model F60 -18.184000 66.183450 sf
HFF_model F60 -18.196425 66.185619 sf
HFF_model F60 -18.208850 66.187788 sf
HFF_model F60 -18.221275 66.189956 sf
HFF_model F60 -18.233700 66.192125 sf
HFF_model F60 -18.246125 66.194294 sf
HFF_model F60 -18.258550 66.196463 sf
HFF_model F60 -18.270975 66.198631 sf
HFF_model F60 -18.283400 66.200800 sf
HFF_model F30 -17.343620 66.055058 sf
HFF_model F30 -17.328260 66.049265 sf
HFF_model F30 -17.314010 66.045123 sf
HFF_model F30 -17.302610 66.041716 sf
HFF_model F30 -17.286640 66.037087 sf
HFF_model F30 -17.267230 66.032652 sf
HFF_model F30 -17.255230 66.030642 sf
